url,seletor_css,dominio
https://www.tuningparts.com.br/rack-teto-byd-dolphin-mini-fixacao-porta-prime?_pid=96xdc,"strong.preco-novo span[itemprop=""price""]",tuningparts.com.br
https://www.tuningparts.com.br/soleira-de-porta-byd-yuan-plus-2023-aco-inox-baixo-relevo?_pid=Uqtdc,"strong.preco-novo span[itemprop=""price""]",tuningparts.com.br
https://produto.mercadolivre.com.br/MLB-5045897414-byd-yuan-pro-2024-soleira-br-em-inox-_JM,#price span.andes-money-amount__fraction,produto.mercadolivre.com.br
https://produto.mercadolivre.com.br/MLB-3842666007-byd-yuan-pro-2024-soleira-br-pedaleira-at-descanso-inox-_JM,#price span.andes-money-amount__fraction,produto.mercadolivre.com.br
https://www.tuningparts.com.br/intake-race-chrome-renault-sandero-rs-15-vermelho-rci-com-filtro-de-ar?_pid=Ipwcc,"strong.preco-novo span[itemprop=""price""]",tuningparts.com.br
https://www.tuningparts.com.br/abafador-escapamento-esportivo-luzian-la01-compacto-inox-3pol?_pid=zZnbc,"strong.preco-novo span[itemprop=""price""]",tuningparts.com.br
https://loja.tparts.com.br/lanterna-paralama-l200-triton-2-4-3-2-3-5-4x2-4x4-2008-2016?_pid=A53bc,"strong.preco-novo span[itemprop=""price""]",loja.tparts.com.br
https://produto.mercadolivre.com.br/MLB-1123006532-lanterna-traseira-l200-triton-sport-2016-17-18-2019-bicolor-_JM?matt_tool=99302748&matt_internal_campaign_id=&matt_word=&matt_source=google&matt_campaign_id=22090193915&matt_ad_group_id=174661991204&matt_match_type=&matt_network=g&matt_device=c&matt_creative=727914181648&matt_keyword=&matt_ad_position=&matt_ad_type=pla&matt_merchant_id=160024389&matt_product_id=MLB1123006532&matt_product_partition_id=2388290326041&matt_target_id=pla-2388290326041&cq_src=google_ads&cq_cmp=22090193915&cq_net=g&cq_plt=gp&cq_med=pla&gad_source=1&gclid=Cj0KCQjwqv2_BhC0ARIsAFb5Ac9ar30sT61wUgqXGw-WJ6BFM6fqUf0ShbIHWCtG_YbcouzKoewsw8oaAvP8EALw_wcB,#price span.andes-money-amount__fraction,produto.mercadolivre.com.br
